Constant,LOWPRE,GBRPM,FRICTION,EXPOSE,INTPM,CPM,HISNOW,FREQ
1,0,2.5,51,0.08479096,0,2.5,0,7
1,1,0,52.1,0.08746276,0,1.558441558,0,7
1,1,1.020408163,51.8,0.117525912,1.020408163,1.530612245,0,7
1,1,1.231527094,43.9,0.163335018,0.246305419,0.985221675,0,7
1,0,2.150537634,51,0.203065779,1.075268817,1.075268817,1,7
1,0,1.234567901,47.5,0.14067027,0,1.234567901,1,7
1,0,1.351351351,46.8,0.12851358,0,2.702702703,1,7
1,0,1,47.3,0.1453503,1,0.5,1,7
1,1,0.757575758,56.3,0.174373056,0.378787879,0.757575758,0,7
1,1,1.518438178,51.8,0.16091182,0.21691974,1.084598698,0,7
1,1,0.966183575,54.7,0.184981307,0,0.644122383,0,7
1,0,3.773584906,49.5,0.084549257,1.886792453,1.886792453,0,6
1,0,0.952380952,49.5,0.17279976,0,1.904761905,0,6
1,0,2.325581395,45,0.171141419,1.162790698,1.162790698,1,6
1,0,1.063829787,53,0.178449741,1.063829787,2.127659574,1,6
1,0,0,47.5,0.113162775,1.515151515,0,0,6
1,0,1.449275362,49.7,0.070659036,0,1.449275362,0,6
1,0,1.785714286,53,0.056463456,0,2.678571429,0,6
1,1,0,44,0.02392502,0,1.785714286,0,6
1,1,2.222222222,56,0.079677675,1.481481481,2.222222222,0,6
1,1,0.833333333,45.5,0.08661888,0.833333333,2.5,0,6
1,1,2.127659574,54,0.064681212,0.531914894,0.531914894,0,6
1,1,1.295896328,47.9,0.177985534,0.215982721,1.079913607,0,6
1,1,1.063829787,47.5,0.069971814,1.063829787,2.127659574,0,6
1,1,3.048780488,53,0.04627178,0,1.219512195,0,6
1,0,3.50877193,50.5,0.070010906,0,1.754385965,0,5
1,0,1.111111111,52,0.04537242,0,1.111111111,1,5
1,1,0.99009901,46.3,0.043150483,0,0.99009901,0,5
1,0,1.639344262,44,0.115479649,0.819672131,1.639344262,1,5
1,0,1.923076923,44,0.045519734,0,3.846153846,1,5
1,0,2.43902439,60.5,0.11190827,0,2.43902439,0,5
1,0,5.263157895,59.5,0.029886383,0,0,0,5
1,0,1.694915254,53,0.048628184,0,3.389830508,1,5
1,0,2.666666667,51,0.145279125,1.333333333,0,0,5
1,1,0.787401575,54.3,0.092580206,0.787401575,0.787401575,0,5
1,0,2.083333333,43.7,0.06620808,0,2.916666667,1,5
1,0,0,58,0.045117358,1.923076923,0,1,5
1,0,2.222222222,52,0.36224352,0,1.111111111,1,5
1,0,1.388888889,54,0.017591832,0,2.777777778,1,4
1,0,3.076923077,46,0.055511755,0,1.538461538,1,4
1,0,2.197802198,48.5,0.134530715,1.098901099,2.197802198,0,4
1,0,0,52.5,0.022490497,0,3.773584906,0,4
1,1,0,48.2,0.061892685,0,1.321585903,0,4
1,1,0.806451613,44,0.044698776,0,2.419354839,0,4
1,1,1.865671642,47.3,0.10716181,0.373134328,1.119402985,0,4
1,1,2.5,50,0.07441912,0.625,2.5,0,4
1,1,2.333333333,44.3,0.1032147,0.333333333,1.333333333,0,4
1,1,0.909090909,51.5,0.06290702,0.454545455,0.454545455,1,4
1,1,1.116071429,52.4,0.076216672,0.446428571,0.446428571,1,4
1,1,1.369863014,58,0.096433584,0,1.369863014,0,4
1,1,0.99009901,55.8,0.030586891,0,1.98019802,0,4
1,0,1.388888889,40.5,0.078753276,0,1.388888889,0,4
1,0,1.639344262,52.5,0.15781432,1.639344262,1.639344262,0,4
1,1,0,48.2,0.013857736,0,3.278688525,0,3
1,1,3.571428571,52.5,0.028873544,0,1.785714286,0,3
1,1,1.19047619,59,0.039419562,0,1.19047619,0,3
1,1,0,44,0.079196751,0,1.449275362,0,3
1,1,3.773584906,42,0.038256672,0,1.886792453,0,3
1,1,1.25,45.3,0.0600644,0.625,0.625,0,3
1,1,0,51.8,0.083372716,1.020408163,1.530612245,1,3
1,0,2.53164557,47.5,0.103941525,0,2.53164557,1,3
1,1,0,48.5,0.044517554,0,1.360544218,0,3
1,1,1.526717557,56.2,0.039672106,0,1.526717557,0,3
1,1,0.746268657,45.5,0.085357732,0.373134328,1.492537313,1,3
1,0,7.692307692,54,0.00911989,0,1.923076923,1,3
1,0,1.020408163,53.5,0.124325789,0,3.06122449,1,3
1,0,1.869158879,52.5,0.049201489,0,0.934579439,1,2
1,0,2.189781022,54.5,0.040584058,0,2.919708029,1,2
1,0,1.840490798,56,0.048286142,0,2.45398773,1,2
1,0,2.857142857,45,0.118314385,0,0,0,2
1,0,1.098901099,51.5,0.149759792,0,2.197802198,0,2
1,0,0.347222222,55.8,0.441125568,0.694444444,0.694444444,0,2
1,0,2.777777778,48.5,0.030553128,0,2.777777778,0,2
1,1,0,46.5,0.027072014,0,1.639344262,0,2
1,1,2.941176471,61.5,0.045267957,0,1.960784314,0,2
1,1,0.847457627,46.5,0.085175232,0.847457627,2.542372881,0,2
1,1,0,47,0.01720245,0,4,0,2
1,1,1.785714286,53.5,0.021827876,0,1.785714286,1,2
1,0,1.694915254,43,0.042878339,1.694915254,1.694915254,1,2
1,1,2.325581395,56.5,0.059807367,0,0,0,2
1,1,1.492537313,54.3,0.062404269,0,0,0,2
1,0,4.195804196,46,0.06430424,0,0,1,2
1,0,3.571428571,41.9,0.061252548,0,3.571428571,0,2
1,0,5.263157895,49,0.189252683,1.754385965,1.754385965,1,2
1,0,3.125,53.5,0.007818592,0,3.125,1,1
1,0,1.818181818,52.3,0.05058097,0,1.818181818,1,1
1,0,3.448275862,53,0.125283002,1.149425287,2.298850575,1,1
1,0,5.769230769,49.5,0.085577024,1.923076923,1.923076923,0,1
1,1,1.754385965,38.8,0.063351225,1.754385965,0,0,1
1,1,1.666666667,52,0.02064294,0,5,0,1
1,1,0,52,0.017890548,0,1.923076923,0,1
1,1,1.587301587,50.5,0.021990119,1.587301587,1.587301587,0,1
1,1,3.921568627,51.7,0.020046494,0,0,0,1
1,1,2.040816327,53,0.030425962,0,0,0,1
1,1,1.470588235,56.5,0.020593154,0,2.941176471,0,1
1,1,2.678571429,56.3,0.033918136,0,0,0,1
1,0,3.296703297,46,0.025246722,0,0,1,1
1,1,0,52.3,0.036141059,0,2.816901408,1,0
1,0,2.205882353,48.5,0.402113784,0,1.838235294,0,0
1,0,1.639344262,48.5,0.09017993,1.639344262,3.278688525,0,0
1,0,2.352941176,48.5,0.10817797,1.176470588,2.352941176,0,0
1,1,0,60.5,0.024956839,0,0,0,0
1,1,0,50.5,0.033324135,0,3.846153846,0,0
1,1,5.172413793,58.5,0.038309232,0,1.724137931,0,0
1,1,1.25,57.5,0.05563476,0,1.25,0,0
1,0,3.157894737,50.5,0.22978429,1.052631579,1.052631579,1,0
1,0,20,47,0.03285,0,4.444444444,0,0
1,0,0.724637681,48.5,0.814336827,0,2.173913043,1,0
1,0,1.481481481,49,0.70293744,0.740740741,0.740740741,1,0
1,0,1.360544218,50.5,0.777536067,0.680272109,1.360544218,1,0
1,0,2.298850575,50.5,0.373483257,1.149425287,2.298850575,1,0
1,0,1.785714286,51,0.225395968,1.785714286,1.785714286,1,0
1,0,3.448275862,46.5,0.163811343,1.724137931,3.448275862,1,0
1,0,2.040816327,50.8,0.691961708,0.816326531,1.224489796,1,0
