Iteration,Family,Upper Vars,Lower Vars,Val RMSE,BIC,Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Selected by Pareto
1085,nb,"LANES_Z, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z",16.72712820136154,1153.4846034837344,False,True,,,,False
1963,nb,"MIMEDSH_Z, MXGRADE_Z","LANES_Z, MXMEDSH_Z",16.75109267376536,1153.5070442264505,False,True,,,,False
1961,nb,"MIMEDSH_Z, MXGRADE_Z, MXMEDSH_Z",LANES_Z,16.96871361372449,1153.5237354374226,False,True,,,,False
2188,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",AVEPRE_Z,16.54842549690719,1153.5241134582147,False,True,,,,False
1265,nb,"FC_1, MXMEDSH_Z","HISNOW, MIMEDSH_Z",16.574607567135754,1153.554812037057,False,True,,,,False
2079,nb,"FC_1, MXMEDSH_Z","HISNOW, MIMEDSH_Z",16.574607567135754,1153.554812037057,False,True,,,,False
1893,nb,"LOWPRE, MIMEDSH_Z","FRICTION_Z, MXMEDSH_Z",17.102380396010915,1153.558298752179,False,True,,,,False
2175,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",LANES_Z,16.72463476532686,1153.5769320334864,False,True,,,,False
933,nb,"FC_1, MXMEDSH_Z","ACCESS_Z, MIMEDSH_Z",16.6313562802695,1153.5949262862528,False,True,,,,False
2069,nb,"ACCESS_Z, FC_1, MXMEDSH_Z",MIMEDSH_Z,16.632824613230913,1153.60005277404,False,True,,,,False
1070,nb,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z",MINRAD_Z,16.804236428626822,1153.6154092134939,False,True,,,,False
2212,nb,"FC_1, HISNOW","MIMEDSH_Z, MXMEDSH_Z",16.362291015941143,1153.6541283670651,False,True,,,,False
2068,nb,"ACCESS_Z, FC_1","MIMEDSH_Z, MXMEDSH_Z",16.40573488686332,1153.661358563611,False,True,,,,False
2085,nb,"CPM_Z, FC_1, MXMEDSH_Z",MIMEDSH_Z,16.424843242904835,1153.6741557569887,False,True,,,,False
2077,nb,"FC_1, MXMEDSH_Z","MEDWIDTH_Z, MIMEDSH_Z",16.49314824613099,1153.6962285108814,False,True,,,,False
1184,nb,"FC_1, MIGRADE_Z, MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z,16.242860835482112,1153.712888696994,False,True,,,,False
1247,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","LANES_Z, MXMEDSH_Z",17.017818486329503,1153.7287571271738,False,True,,,,False
964,nb,"FC_1, INTECHAG_Z, MXMEDSH_Z","AVESNOW_Z, MIMEDSH_Z",17.131866106722377,1153.788288559198,False,True,,,,False
1984,nb,"MIMEDSH_Z, MINRAD_Z, MXMEDSH_Z",MIMEDSH_Z,16.603839389236043,1153.80541850483,False,True,,,,False
1062,nb,"CURVES_Z, MIMEDSH_Z, MXMEDSH_Z",LANES_Z,17.019109650256105,1153.814270367714,False,True,,,,False
1209,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","MEDWIDTH_Z, MXMEDSH_Z",16.86371569108869,1153.8239708707652,False,True,,,,False
1125,nb,"MIMEDSH_Z, TANGENT_Z","MXMEDSH_Z, WIDTH_Z",16.79761514575602,1153.8351652326821,False,True,,,,False
1903,nb,"CURVES_Z, MIMEDSH_Z, MXGRADE_Z",MXMEDSH_Z,16.397425406151054,1153.8384271538243,False,True,,,,False
2168,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",ACCESS_Z,16.53917389393358,1153.8482091615294,False,True,,,,False
988,nb,"CURVES_Z, FC_1, MIMEDSH_Z, MXMEDSH_Z",MIMEDSH_Z,16.091420002687165,1153.8774625950864,False,True,,,,False
973,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",MEDWIDTH_Z,17.005525117647284,1153.8969517039054,False,True,,,,False
1171,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",WIDTH_Z,17.07722142033461,1153.90025137489,False,True,,,,False
