Iteration,Family,Phase,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT OK
346,nb,random,"HISNOW, MXMEDSH_Z, PEAKHR_Z, TANGENT_Z",ACCESS_Z,604.0881922841556,16.96567661105985,1156.7487271323307,1181.5962909235354,0.7097813506972478,0.7097813506972478,0.7097813506972478,0.7097813506972478,1.0,yes
493,poisson,random,"CPM_Z, MEDWIDTH_Z, PEAKHR_Z","ACCESS_Z, LANES_Z, MEDWIDTH_Z, PEAKHR_Z",604.2371556568929,16.473407280695643,1902.5603550210062,1930.5138642861114,0.40483845671207486,0.6125417507785476,0.8184836975997377,0.953860512316181,1.0,yes
375,poisson,random,"ACCESS_Z, DOUBLE_Z, MIGRADE_Z","MXMEDSH_Z, SLOPE_Z, URB",604.3391443086356,16.039368013920637,1883.7476366672245,1908.5952004584292,0.6714342493911696,0.6714342493911696,0.6791254644889347,0.6949700891163904,1.0,yes
197,nb,random,"FC_Z, INTECHAG_Z, LOWPRE, WIDTH_Z","FRICTION_Z, MXMEDSH_Z",604.607599778834,17.769435681718026,1140.6105372007596,1168.5640464658647,0.7373808876387187,0.742961444808288,0.7517004991442117,0.7891486534377381,1.0,yes
147,poisson,random,"INTPM_Z, LNAADT_Z, MEDWIDTH_Z, MXMEDSH_Z, TRAIN_Z","AVESNOW_Z, MEDWIDTH_Z",604.8823339372245,16.03326322420025,1879.2426873504546,1907.1961966155598,-0.2536575995789009,-0.19314152307389953,-0.01132754720556256,-0.008847247907788638,0.05454545454545454,no
401,nb,random,"LNAADT_Z, SLOPE_Z","AVEPRE_Z, MXMEDSH_Z, SLOPE_Z, URB",605.0471920014164,15.54752947020158,1162.5052372045875,1190.4587464696926,-0.14921694358509496,-0.1486650987262866,-0.12632691953460876,0.06039269394390743,0.14545454545454545,no
134,poisson,random,"AVESNOW_Z, FRICTION_Z, GBRPM_Z, HISNOW, MXMEDSH_Z, SINGLE_Z, SPEED_Z, WIDTH_Z","HISNOW, PEAKHR_Z, SLOPE_Z, WIDTH_Z",605.3167435937487,16.59907251548449,1840.1689357658277,1883.6521724004358,0.6420437088199156,0.6426196736740379,0.7507297668539727,0.9505563067096423,1.0,yes
285,nb,random,"AVEPRE_Z, FC_Z, INTPM_Z, MXGRADE_Z, MXMEDSH_Z, SLOPE_Z, TANGENT_Z, TRAIN_Z, WIDTH_Z","AVEPRE_Z, PEAKHR_Z, SPEED_Z, WIDTH_Z",605.6166618596726,15.960370304620767,1153.6782920966061,1203.3734196790153,0.3837240288821306,0.5622641113224641,0.8729980553104433,1.0361485353311766,1.0,yes
35,poisson,random,"CPM_Z, DOUBLE_Z, EXPOSE_Z, FC_Z, INTECHAG_Z, LNAADT_Z, MIGRADE_Z, SPEED_Z, TRAIN_Z, URB","ACCESS_Z, MEDWIDTH_Z, MXMEDSH_Z, SLOPE_Z",605.9905150010504,16.309306743405166,1851.2377214052292,1900.9328489876384,-0.1026173870644403,-0.10133403296586699,-0.08964112151902283,-0.06539821032491643,0.0,no
59,nb,random,"CPM_Z, FC_Z, LANES_Z, LNAADT_Z, LOWPRE, MEDWIDTH_Z, MIGRADE_Z, PEAKHR_Z","MXMEDSH_Z, PEAKHR_Z",606.7288002143771,17.772161233980334,1148.8528960828944,1189.230187243602,-0.12176726213945355,-0.11150030611972393,-0.08272390826160853,-0.035273619410753805,0.01818181818181818,no
7,poisson,random,"ACCESS_Z, CURVES_Z, EXPOSE_Z, GBRPM_Z, MEDWIDTH_Z, MIGRADE_Z, MXMEDSH_Z, TANGENT_Z, URB","AVEPRE_Z, PEAKHR_Z",607.0695534973063,15.920033986069843,1885.4400766583499,1925.8173678190574,0.7097950333286338,0.7144333209303864,0.7272855933270589,0.7329856918121249,1.0,yes
408,nb,random,"AVEPRE_Z, EXPOSE_Z, LOWPRE, MIGRADE_Z, SINGLE_Z, TANGENT_Z, TRAIN_Z, WIDTH_Z","AVEPRE_Z, AVESNOW_Z, SPEED_Z",607.5146193335066,17.00694688281312,1158.0823095638777,1201.565546198486,0.5875445040489948,0.7153803265626822,0.7564922872610964,0.8075888575424052,1.0,yes
305,nb,random,"ACCESS_Z, FRICTION_Z, LOWPRE","MXMEDSH_Z, SPEED_Z",608.867558937346,16.50972853250123,1155.7612639691315,1180.6088277603362,0.6721653292853144,0.6721653292853144,0.6875945354226677,0.7171293967291533,1.0,yes
53,poisson,random,"ACCESS_Z, CPM_Z, EXPOSE_Z, INTPM_Z, MXGRADE_Z, PEAKHR_Z, TRAIN_Z, WIDTH_Z","ACCESS_Z, AVEPRE_Z, HISNOW, MXMEDSH_Z",608.9249901886941,16.632009179907943,1855.481922975934,1898.965159610542,0.6959891403126328,0.6962235464088911,0.712314314193054,0.7421103233475056,1.0,yes
167,poisson,random,"AVEPRE_Z, AVESNOW_Z, LANES_Z, LNAADT_Z, MEDWIDTH_Z, MIGRADE_Z, SPEED_Z, TRAIN_Z, WIDTH_Z","ACCESS_Z, AVEPRE_Z, MINRAD_Z, MXMEDSH_Z",610.009024524719,16.680897863580032,1860.868290479755,1907.4574725882637,-0.10085433328064342,-0.09738714050417668,-0.09293862885233947,-0.07251707358486173,0.0,no
27,poisson,random,"AVESNOW_Z, INTPM_Z, SINGLE_Z, URB, WIDTH_Z","AVESNOW_Z, SPEED_Z",610.497897692595,16.530017797942257,1830.837795181832,1858.7913044469371,-0.4492819638025071,0.36226129311632055,0.8868895534834773,0.9668190668358142,0.9272727272727272,no
426,nb,random,"LNAADT_Z, MXMEDSH_Z, TANGENT_Z","FRICTION_Z, SPEED_Z",610.9926728700551,16.33576447389617,1155.547956906346,1180.3955206975506,-0.10996227262402171,-0.10571996750389215,-0.09294998305598948,-0.06748298439615873,0.0,no
