Y,US,RSHS,RSMS,O,AADT,MCV,C,CT
0,0,1,0,1.151,0.89,0.46,0,0
0,0,1,0,1.024,0.89,0.46,0,0
0,1,0,0,0.885,0.89,0.46,0,0
0,1,0,0,0.899,0.89,0.46,0,0
0,0,1,0,1.151,0.83,0.37,0,1
0,0,1,0,1.151,0.83,0.37,0,1
0,0,1,0,1.052,0.83,0.37,0,1
0,1,0,0,0.921,0.84,0.26,0,1
0,1,0,0,0.899,0.84,0.26,0,1
0,1,0,0,0.955,0.84,0.26,0,1
0,1,0,0,0.87,0.82,0.37,1,0
0,0,1,0,1.151,0.82,0.37,0,1
0,0,1,0,1.151,0.82,0.37,0,1
0,0,1,0,1.151,0.82,0.37,0,1
0,0,1,0,0.924,0.82,0.37,0,1
0,1,0,0,0.899,0.8,0.24,1,1
0,1,0,0,0.939,0.8,0.24,1,1
0,1,0,0,0.885,0.8,0.24,0,0
0,1,0,0,0.899,0.8,0.24,0,0
0,0,1,0,1.151,0.69,0.22,0,1
0,0,1,0,1.13,0.69,0.22,0,1
0,0,1,0,0.931,0.64,0.16,1,1
0,0,1,0,1.129,0.64,0.16,0,1
0,0,0,1,0.99,0.64,0.16,1,1
0,0,1,0,1.151,0.64,0.16,1,1
0,0,1,0,1.054,0.64,0.16,1,1
0,1,0,0,0.885,0.83,0.3,1,1
0,0,1,0,1.151,0.83,0.3,0,1
0,0,1,0,0.892,0.83,0.3,0,1
0,1,0,0,0.931,0.62,0.16,1,0
0,0,1,0,1.151,0.56,0.33,0,1
0,0,1,0,1.151,0.56,0.33,0,1
0,0,1,0,1.151,0.56,0.33,0,1
0,0,1,0,1.151,0.56,0.33,0,1
0,0,1,0,1.151,0.56,0.33,0,1
0,0,1,0,0.955,0.56,0.33,0,1
0,1,0,0,0.87,0.66,0.35,1,0
0,1,0,0,0.885,0.66,0.35,0,0
0,1,0,0,0.87,0.66,0.35,0,0
0,0,1,0,0.92,0.66,0.35,0,0
0,1,0,0,0.91,0.49,0.23,0,0
0,0,1,0,1.133,0.49,0.23,0,0
0,1,0,0,0.981,0.98,0.41,1,0
0,1,0,0,0.76,0.95,0.22,1,0
0,1,0,0,0.885,0.95,0.22,0,0
0,1,0,0,0.931,0.95,0.22,0,1
0,1,0,0,0.801,0.93,0.5,0,0
0,0,1,0,1.137,0.84,0.34,0,1
0,1,0,0,0.885,0.82,0.3,0,0
0,1,0,0,0.924,0.82,0.3,0,0
0,1,0,0,0.916,0.89,0.46,1,0
0,0,1,0,1.117,0.84,0.19,0,0
0,0,1,0,1.097,0.72,0.19,0,0
0,0,0,1,0.801,0.69,0.25,0,0
0,1,0,0,0.866,0.75,0.14,0,0
0,0,0,1,1.004,0.93,0.44,0,0
0,1,0,0,0.947,0.94,0.44,0,0
0,0,0,0,0.939,0.93,0.44,0,1
0,1,0,0,0.995,0.88,0.41,0,1
0,0,1,0,0.921,0.87,0.4,0,0
0,0,1,0,0.947,0.87,0.4,0,0
0,0,1,0,0.87,0.87,0.4,0,0
0,0,1,0,0.947,0.87,0.4,0,0
0,0,1,0,0.921,0.85,0.4,0,0
0,1,0,0,0.91,0.85,0.4,0,0
0,1,0,0,0.955,0.85,0.4,0,0
0,0,1,0,0.87,0.85,0.4,0,0
0,0,1,0,1.093,0.85,0.4,0,0
0,0,0,0,0.841,0.85,0.4,0,0
0,0,0,1,0.943,0.84,0.61,0,1
0,1,0,0,0.899,0.87,0.42,0,0
0,1,0,0,0.899,0.87,0.42,0,1
0,1,0,0,0.885,0.87,0.42,0,1
0,0,0,1,1.049,0.87,0.42,0,1
0,0,1,0,0.91,0.87,0.42,0,1
0,0,1,0,0.91,0.83,0.42,0,0
0,0,1,0,1.045,0.82,0.42,0,1
0,1,0,0,0.921,0.69,0.21,0,0
0,0,1,0,1.151,0.67,0.45,0,1
0,0,1,0,1.151,0.67,0.45,0,1
0,0,1,0,1.108,0.67,0.45,0,1
0,0,1,0,0.87,0.67,0.45,0,0
0,0,0,0,0.946,0.94,0.64,0,0
0,1,0,0,0.963,0.94,0.64,0,0
0,1,0,0,1.027,0.86,0.63,1,1
0,1,0,0,0.922,0.84,0.55,0,1
1,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,1.151,0.71,0.46,0,1
0,0,1,0,0.829,0.71,0.46,0,1
0,0,0,1,0.955,0.61,0.43,0,0
0,1,0,0,0.794,0.61,0.43,0,0
0,1,0,0,0.931,0.73,0.46,0,0
0,0,1,0,1.151,0.64,0.42,0,0
0,0,1,0,1.151,0.64,0.42,0,0
0,0,1,0,1.151,0.64,0.42,0,0
0,0,1,0,1.108,0.64,0.42,0,0
0,0,1,0,0.96,0.64,0.42,1,0
0,1,0,0,0.87,0.78,0.39,0,0
0,1,0,0,0.91,0.7,0.45,0,0
0,0,1,0,0.976,0.7,0.45,0,0
0,0,1,0,1.076,0.49,0.34,1,0
0,0,1,0,0.968,0.49,0.34,0,0
0,0,1,0,1.046,0.49,0.34,1,0
0,0,1,0,0.931,0.49,0.34,0,0
0,0,1,0,1.151,0.49,0.34,0,0
0,0,1,0,1.151,0.49,0.34,0,0
0,0,1,0,1.079,0.49,0.34,0,0
0,1,0,0,0.76,0.73,0.17,0,0
0,0,1,0,1.151,0.64,0.21,0,1
0,0,1,0,1.151,0.64,0.21,0,1
0,0,1,0,1.151,0.64,0.21,0,1
0,0,1,0,1.151,0.64,0.21,0,1
0,0,1,0,1.031,0.64,0.21,1,1
0,1,0,0,0.921,0.62,0.21,0,0
0,1,0,0,0.939,0.61,0.19,0,0
0,0,1,0,1.151,0.58,0.21,0,0
0,0,1,0,1.151,0.58,0.21,0,0
0,0,1,0,1.027,0.58,0.21,0,0
0,0,1,0,1.151,0.64,0.24,0,1
0,0,1,0,0.797,0.64,0.24,0,1
0,1,0,0,0.852,0.65,0.18,0,0
0,0,1,0,1.147,0.58,0.21,0,1
0,0,1,0,1.017,0.65,0.41,0,0
0,1,0,0,0.91,0.65,0.41,0,0
0,0,1,0,1.151,0.69,0.42,0,0
0,0,1,0,1,0.69,0.42,1,0
