ID,Month,Death,Roadway_Class,Road_surface,Road_section,Weather_condition,Light_condition
404,1,2,1,1,3,1,2
405,1,1,4,1,1,1,1
406,1,1,2,1,3,1,3
407,1,0,1,1,1,1,1
408,1,0,4,1,1,1,1
409,1,1,1,1,1,1,3
410,1,1,1,1,1,1,3
411,1,1,1,1,1,1,1
412,1,0,4,1,1,1,1
413,1,0,4,1,1,1,3
414,1,0,3,1,3,1,2
415,1,0,1,1,1,1,3
416,1,0,4,1,1,1,3
417,1,0,4,1,1,1,1
418,1,0,3,1,1,1,2
419,1,2,1,1,1,1,3
420,1,0,3,1,1,1,3
421,1,0,4,1,1,1,1
422,1,0,4,2,1,3,2
423,1,1,1,1,1,1,2
424,1,1,1,1,1,1,1
425,1,1,1,1,1,1,3
426,1,1,1,1,1,1,1
427,1,0,4,1,1,1,3
428,1,1,1,1,1,1,1
429,1,0,4,1,1,1,3
430,1,1,1,1,1,1,3
431,1,0,3,1,3,1,1
432,1,0,4,1,1,1,1
433,1,0,4,2,1,3,1
434,1,1,1,1,1,1,2
435,1,0,3,1,1,1,2
436,1,1,1,1,1,1,3
437,1,0,4,1,1,1,1
438,1,1,1,1,1,1,2
439,1,0,4,1,1,3,2
440,1,0,3,1,1,1,2
441,1,0,4,1,1,2,2
442,1,0,3,1,3,1,1
443,1,0,3,1,1,1,1
444,1,0,1,1,3,1,1
445,1,0,3,1,1,1,1
446,1,0,1,1,1,1,3
447,1,0,4,1,1,1,1
448,1,0,4,1,1,1,3
449,1,0,1,1,1,1,1
450,1,1,1,1,1,1,1
451,1,1,1,1,1,1,3
452,1,1,1,1,1,1,3
453,1,0,3,1,1,1,1
454,1,0,3,1,1,1,3
455,1,0,4,1,1,1,3
456,1,0,4,1,1,1,1
457,1,0,3,1,1,1,1
458,1,0,1,1,1,1,2
459,1,0,1,1,3,1,1
460,1,1,1,1,1,1,2
461,1,1,2,1,1,1,1
462,1,1,1,1,1,1,1
463,1,1,1,1,3,1,1
464,1,0,4,2,1,2,2
465,1,0,4,1,1,1,1
466,1,0,1,1,1,1,1
467,1,0,4,1,3,1,1
468,1,0,2,1,1,1,1
469,1,0,4,1,1,1,1
470,1,0,1,1,3,1,1
