FSI,US,RSHS,RSMS,Offset,LNAADT,LNMCV,Curve50,Constant
0,0,0,1,0.955,0.8,0.4,0,1
0,0,0,1,1.017,0.8,0.4,1,1
0,0,1,0,0.939,0.8,0.5,1,1
0,0,1,0,0.968,0.8,0.5,1,1
0,0,1,0,0.939,0.8,0.5,0,1
0,0,1,0,0.939,0.8,0.4,0,1
0,1,0,0,0.923,1,0.1,1,1
0,0,1,0,0.98,0.8,0.3,1,1
0,0,0,1,0.968,0.8,0.3,1,1
0,0,0,1,0.955,0.7,0.4,0,1
0,0,1,0,0.985,0.7,0.4,0,1
0,0,1,0,0.955,0.7,0.4,0,1
0,0,1,0,0.947,0.7,0.4,0,1
0,0,0,0,0.949,0.9,0.4,0,1
0,1,0,0,0.87,0.8,0.3,0,1
0,0,1,0,1.151,0.7,0.3,0,1
0,0,1,0,1.151,0.7,0.3,0,1
0,0,1,0,1.151,0.7,0.3,0,1
0,0,1,0,1.004,0.7,0.3,0,1
0,0,0,1,1.151,0.4,0.1,0,1
0,0,0,1,1.151,0.4,0.1,0,1
0,0,0,1,1.151,0.4,0.1,0,1
0,1,0,0,0.829,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,1,0,0,0.8,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0,0,1
0,0,1,0,1.151,0.4,0,0,1
0,0,1,0,1.151,0.4,0,0,1
0,0,1,0,1.151,0.4,0,0,1
0,0,0,0,1.099,1,0.2,0,1
0,1,0,0,0.885,0.8,0.5,0,1
0,1,0,0,0.87,0.8,0.5,0,1
0,1,0,0,0.801,0.8,0.5,0,1
0,0,1,0,1,0.7,0.2,0,1
0,1,0,0,0.931,0.7,0.2,0,1
0,0,1,0,1.092,0.7,0.2,0,1
0,0,0,0,0.928,1,0.5,0,1
0,0,0,0,0.885,1,0.5,1,1
0,1,0,0,0.767,0.9,0.5,0,1
0,0,0,0,0.955,1,0.2,0,1
0,0,0,0,0.885,1,0.2,0,1
0,0,0,0,0.801,1,0,0,1
0,0,0,0,0.938,1,0.3,1,1
0,1,0,0,0.963,1,0.1,0,1
0,0,0,0,0.87,1,0.1,0,1
0,0,0,0,0.921,1,0.4,0,1
0,0,1,0,1,0.9,0.3,0,1
0,0,1,0,1.013,0.9,0.3,0,1
0,0,0,0,0.892,1,0.6,0,1
0,1,0,0,0.932,0.8,0.6,1,1
0,0,0,0,0.946,1,0.4,0,1
0,0,0,0,0.985,1,0.4,0,1
0,0,0,0,0.966,1,0.4,1,1
0,0,0,0,0.942,1.1,0.5,1,1
0,0,0,0,1.084,1.1,0.4,0,1
0,1,0,0,0.87,0.9,0.5,0,1
0,1,0,0,0.899,0.8,0.4,0,1
0,0,0,1,0.968,0.8,0.3,0,1
0,0,0,1,0.962,0.8,0.3,0,1
0,1,0,0,0.859,0.9,0.3,0,1
0,0,1,0,0.931,0.9,0.3,0,1
0,0,1,0,0.968,0.9,0.3,1,1
0,0,1,0,0.921,0.9,0.3,0,1
0,0,0,1,0.931,0.9,0.3,0,1
0,0,0,1,1.058,0.9,0.3,1,1
0,0,0,1,0.988,0.7,0.5,1,1
0,0,1,0,1.031,0.7,0.1,0,1
0,0,1,0,0.931,0.7,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.133,0.5,0.3,0,1
0,0,1,0,1.115,0.5,0.3,0,1
0,0,1,0,1.024,0.6,0.3,1,1
0,0,1,0,1,0.6,0.3,0,1
0,1,0,0,0.899,0.6,0.3,0,1
0,1,0,0,0.887,0.6,0.3,0,1
0,0,1,0,0.962,0.8,0.2,1,1
0,0,1,0,1.052,0.8,0.2,1,1
0,1,0,0,0.899,0.8,0.2,1,1
0,0,1,0,0.921,0.4,0.1,0,1
0,0,1,0,0.974,0.4,0.1,0,1
0,0,1,0,0.931,0.4,0.1,1,1
0,0,1,0,0.955,0.5,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,0.819,0.4,0.1,0,1
0,0,1,0,0.955,0.6,0.3,0,1
0,0,1,0,0.962,0.6,0.3,0,1
0,0,1,0,1.055,0.6,0.3,1,1
0,0,1,0,1.14,0.5,0.1,0,1
0,0,1,0,1.151,0.4,0.3,0,1
0,0,0,1,0.861,0.4,0.3,1,1
0,0,0,1,0.968,0.4,0.3,0,1
0,0,0,1,0.801,0.4,0.3,0,1
0,0,0,1,0.99,0.8,0.4,0,1
0,1,0,0,0.974,0.8,0.4,0,1
0,0,1,0,1.069,0.8,0.4,0,1
0,0,0,0,0.917,0.8,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,0.939,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,0.947,0.5,0.2,0,1
0,0,1,0,0.939,0.5,0.2,1,1
0,0,1,0,1.151,0.6,0.3,0,1
0,1,0,0,0.852,0.6,0.3,1,1
0,0,1,0,0.98,0.6,0.4,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.095,0.5,0.3,0,1
0,0,1,0,0.931,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,0.921,0.4,0.1,0,1
0,0,1,0,1.15,0.4,0.1,0,1
0,0,1,0,1.053,0.5,0.1,0,1
0,0,1,0,1,0.4,0.2,0,1
0,0,1,0,0.995,0.4,0.2,1,1
0,0,1,0,0.921,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,0.995,0.5,0.2,0,1
0,0,1,0,1.082,0.5,0.2,1,1
0,0,1,0,1.009,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,0.955,0.4,0.2,0,1
0,0,1,0,1.071,0.4,0.2,0,1
0,0,1,0,0.962,0.4,0.2,0,1
0,0,1,0,0.968,0.4,0.2,0,1
0,0,1,0,0.921,0.4,0.2,1,1
0,0,1,0,1.004,0.4,0.1,0,1
0,0,1,0,0.91,0.5,0.1,0,1
0,0,1,0,1.151,0.5,0.1,0,1
0,0,1,0,0.87,0.7,0.4,0,1
0,0,1,0,1.151,0.3,0.1,0,1
0,0,1,0,1.004,0.3,0.1,0,1
0,0,1,0,1.151,0.3,0.1,0,1
0,0,1,0,0.931,0.5,0.4,0,1
0,0,1,0,0.962,0.5,0.4,0,1
0,0,1,0,0.947,0.5,0.4,1,1
0,0,1,0,0.921,0.5,0.4,0,1
0,0,0,0,0.862,0.9,0.2,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.2,1,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.11,0.4,0.2,1,1
0,0,1,0,0.98,0.6,0.1,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.145,0.5,0.2,1,1
0,0,1,0,1.074,0.5,0.1,1,1
0,0,1,0,0.931,0.4,0.1,0,1
0,0,1,0,0.939,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,0.931,0.4,0.1,0,1
0,0,1,0,1.108,0.4,0.1,1,1
0,0,1,0,0.947,0.4,0.1,1,1
0,0,1,0,0.955,0.4,0.1,0,1
0,0,1,0,1.092,0.4,0.1,1,1
0,0,0,1,1.013,0.4,0.1,1,1
0,1,0,0,0.91,0.7,0.3,0,1
0,0,1,0,1.151,0.4,0.1,0,1
