ID,FREQ,aones,hisnow,FRICTION,expose,cpm,intpm,gbrpm,lowpre,ny
214,64,1,1,54.4,0.83998618,0.46632124352331605,0.15544041450777202,1.450777202072539,1,0.457142857
215,55,1,1,56.3,0.25245225,1.0344827586206897,0.5172413793103449,1.0344827586206897,0,0.392857143
216,24,1,1,44.5,0.180933858,0.6329113924050632,0.6329113924050632,1.2658227848101264,0,0.171428571
217,0,1,1,50.5,0.22978429,1.0526315789473684,1.0526315789473684,3.1578947368421053,0,0
218,135,1,1,51.5,3.02187442,0.7258064516129032,0.3225806451612903,1.6935483870967742,0,0.964285714
219,23,1,1,49.5,0.266202895,1.3953488372093024,0.46511627906976744,1.8604651162790697,0,0.164285714
220,12,1,0,44,0.095420052,0,0,1.5873015873015872,0,0.085714286
221,0,1,0,47,0.03285,4.444444444444445,0,20,0,0
222,5,1,0,60.5,0.11190827,2.4390243902439024,0,2.4390243902439024,0,0.035714286
223,5,1,0,59.5,0.029886382499999996,0,0,5.2631578947368425,0,0.035714286
224,16,1,0,58.5,0.090042288,0.5952380952380952,0,3.5714285714285716,0,0.114285714
225,12,1,0,46.5,0.12298361099999999,0.9933774834437086,0.33112582781456956,2.980132450331126,0,0.085714286
